1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 20
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 80
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 80
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 20
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 50
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 20
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 20
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 110
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
28; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
29; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
30; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60

1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 10
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 110
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
28; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
29; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
30; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60

1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 10
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 30
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
28; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
29; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
30; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60

1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 50
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 70
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 50
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 70
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 50
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
28; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
29; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
30; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60

1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 30
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 90
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
