19; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
20; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
21; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
22; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
23; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
24; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
25; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
26; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
27; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
28; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
29; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60
30; [inimigo5, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (-100, 100)]; 60

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (90, -50)]; [inimigos, (-100, 300)]; 150
3; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
4; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
5; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
6; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
7; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
8; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
9; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
10; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
11; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
12; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
13; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
14; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
15; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
16; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
17; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
18; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
19; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
20; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
21; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
22; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
23; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo2, (-100, 100)]; 210
24; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
25; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
26; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
27; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
28; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
29; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180
30; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 100)]; 180

